date,cycle,open,lastclose,close,high,low,share,amount,time,macd,avg5,avg10,avg20,avg60
20160823,300,20.8,,20.9,20.98,20.59,6996354.0,,34200,0.0,20.9,20.9,20.9,
20160823,300,20.86,,20.77,20.9,20.65,2400400.0,,34500,-33.46,20.77,20.77,20.77,
20160823,300,20.75,,21.74,21.88,20.75,7424759.0,,34800,-26.65,21.74,21.74,21.74,
20160823,300,21.74,,22.38,22.68,21.74,7670621.0,,35100,-21.16,22.38,22.38,22.38,
20160823,300,22.36,,22.15,22.6,22.1,3073455.0,,35400,-16.83,22.15,22.15,22.15,
20160823,300,22.14,,22.21,22.26,22.0,1929260.0,,35700,-13.38,21.85,22.21,22.21,
20160823,300,22.22,,22.36,22.44,22.2,1121825.0,,36000,-10.63,22.17,22.36,22.36,
20160823,300,22.35,,22.22,22.35,22.1,775265.0,,36300,-8.46,22.26,22.22,22.22,
20160823,300,22.26,,22.28,22.33,22.25,585600.0,,36600,-6.74,22.24,22.28,22.28,
20160823,300,22.28,,22.3,22.32,22.2,578100.0,,36900,-5.37,22.27,22.3,22.3,
20160823,300,22.3,,23.0,23.27,22.29,2705815.0,,37200,-4.2,22.43,22.14,23.0,
20160823,300,22.98,,23.27,23.27,22.97,2060440.0,,37500,-3.26,22.61,22.39,23.27,
20160823,300,23.27,,23.27,23.27,23.27,395900.0,,37800,-2.53,22.82,22.54,23.27,
20160823,300,23.27,,23.27,23.27,23.27,337201.0,,38100,-1.98,23.02,22.63,23.27,
20160823,300,23.27,,23.27,23.27,23.27,166347.0,,38400,-1.56,23.22,22.75,23.27,
20160823,300,23.27,,23.27,23.27,23.27,122583.0,,38700,-1.24,23.27,22.85,23.27,
20160823,300,23.27,,23.27,23.27,23.27,183350.0,,39000,-0.99,23.27,22.94,23.27,
20160823,300,23.27,,23.27,23.27,23.27,2516013.0,,39300,-0.81,23.27,23.05,23.27,
20160823,300,23.27,,23.27,23.27,23.27,2226357.0,,39600,-0.67,23.27,23.15,23.27,
20160823,300,23.27,,23.27,23.27,23.27,198032.0,,39900,-0.56,23.27,23.24,23.27,
20160823,300,23.27,,23.27,23.27,23.27,92605.0,,40200,-0.48,23.27,23.27,22.71,
20160823,300,23.27,,23.27,23.27,23.27,116000.0,,40500,-0.42,23.27,23.27,22.83,
20160823,300,23.27,,23.27,23.27,23.27,51958.0,,40800,-0.37,23.27,23.27,22.91,
20160823,300,23.27,,23.27,23.27,23.27,54400.0,,41100,-0.34,23.27,23.27,22.95,
20160823,300,23.27,,23.27,23.27,23.27,410600.0,,46800,-0.31,23.27,23.27,23.01,
20160823,300,23.27,,23.27,23.27,23.27,60300.0,,47100,-0.28,23.27,23.27,23.06,
20160823,300,23.27,,23.27,23.27,23.27,25100.0,,47400,-0.26,23.27,23.27,23.11,
20160823,300,23.27,,23.27,23.27,23.27,17900.0,,47700,-0.25,23.27,23.27,23.16,
20160823,300,23.27,,23.27,23.27,23.27,51900.0,,48000,-0.23,23.27,23.27,23.21,
20160823,300,23.27,,23.27,23.27,23.27,28000.0,,48300,-0.22,23.27,23.27,23.26,
20160823,300,23.27,,23.27,23.27,23.27,27100.0,,48600,-0.21,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,40000.0,,48900,-0.2,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,56200.0,,49200,-0.19,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,37100.0,,49500,-0.18,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,50100.0,,49800,-0.17,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,35900.0,,50100,-0.16,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,21500.0,,50400,-0.15,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,34300.0,,50700,-0.15,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,9200.0,,51000,-0.14,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,20701.0,,51300,-0.13,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,26200.0,,51600,-0.12,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,32800.0,,51900,-0.12,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,43800.0,,52200,-0.11,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,137900.0,,52500,-0.1,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,129000.0,,52800,-0.1,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,112500.0,,53100,-0.09,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,196400.0,,53400,-0.08,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,41900.0,,53700,-0.08,23.27,23.27,23.27,
