date,cycle,open,lastclose,close,high,low,share,amount,time,macd,avg5,avg10,avg20,avg60
20160823,60,20.8,,20.74,20.8,20.59,3063750.0,,34200,0.0,20.74,20.74,20.74,
20160823,60,20.73,,20.94,20.97,20.73,986093.0,,34260,-33.16,20.94,20.94,20.94,
20160823,60,20.94,,20.84,20.98,20.8,1075911.0,,34320,-26.52,20.84,20.84,20.84,
20160823,60,20.85,,20.89,20.89,20.81,723900.0,,34380,-21.2,20.89,20.89,20.89,
20160823,60,20.89,,20.9,20.96,20.88,1146700.0,,34440,-16.95,20.9,20.9,20.9,
20160823,60,20.86,,20.8,20.9,20.78,746689.0,,34500,-13.57,20.87,20.8,20.8,
20160823,60,20.78,,20.66,20.8,20.65,471550.0,,34560,-10.88,20.82,20.66,20.66,
20160823,60,20.66,,20.8,20.83,20.66,418261.0,,34620,-8.7,20.81,20.8,20.8,
20160823,60,20.8,,20.78,20.82,20.76,446200.0,,34680,-6.97,20.79,20.78,20.78,
20160823,60,20.77,,20.77,20.79,20.71,317700.0,,34740,-5.58,20.76,20.77,20.77,
20160823,60,20.75,,20.93,20.93,20.75,269600.0,,34800,-4.44,20.79,20.83,20.93,
20160823,60,20.93,,21.19,21.19,20.93,978162.0,,34860,-3.51,20.89,20.86,21.19,
20160823,60,21.18,,21.39,21.44,21.17,1948111.0,,34920,-2.75,21.01,20.91,21.39,
20160823,60,21.34,,21.74,21.78,21.34,1748607.0,,34980,-2.11,21.2,21.0,21.74,
20160823,60,21.78,,21.74,21.88,21.65,2480279.0,,35040,-1.62,21.4,21.08,21.74,
20160823,60,21.74,,22.23,22.3,21.74,1460318.0,,35100,-1.18,21.66,21.22,22.23,
20160823,60,22.26,,22.24,22.38,22.18,2706981.0,,35160,-0.86,21.87,21.38,22.24,
20160823,60,22.2,,22.09,22.2,21.95,879963.0,,35220,-0.65,22.01,21.51,22.09,
20160823,60,22.09,,22.64,22.68,22.09,1311259.0,,35280,-0.42,22.19,21.7,22.64,
20160823,60,22.67,,22.38,22.67,22.38,1312100.0,,35340,-0.3,22.32,21.86,22.38,
20160823,60,22.36,,22.56,22.59,22.3,815100.0,,35400,-0.2,22.38,22.02,21.43,
20160823,60,22.6,,22.27,22.6,22.2,945541.0,,35460,-0.17,22.39,22.13,21.49,
20160823,60,22.2,,22.19,22.2,22.1,383304.0,,35520,-0.16,22.41,22.21,21.56,
20160823,60,22.2,,22.38,22.38,22.2,444479.0,,35580,-0.14,22.36,22.27,21.63,
20160823,60,22.38,,22.15,22.38,22.15,485031.0,,35640,-0.15,22.31,22.31,21.7,
20160823,60,22.14,,22.01,22.15,22.01,496100.0,,35700,-0.18,22.2,22.29,21.76,
20160823,60,22.0,,22.04,22.1,22.0,528800.0,,35760,-0.19,22.15,22.27,21.83,
20160823,60,22.1,,22.25,22.25,22.1,283860.0,,35820,-0.17,22.17,22.29,21.9,
20160823,60,22.22,,22.14,22.26,22.14,397200.0,,35880,-0.17,22.12,22.24,21.97,
20160823,60,22.15,,22.21,22.24,22.13,223300.0,,35940,-0.16,22.13,22.22,22.04,
20160823,60,22.22,,22.33,22.33,22.22,236000.0,,36000,-0.13,22.19,22.2,22.11,
20160823,60,22.35,,22.43,22.44,22.33,361825.0,,36060,-0.1,22.27,22.21,22.17,
20160823,60,22.44,,22.21,22.44,22.21,176600.0,,36120,-0.11,22.26,22.22,22.21,
20160823,60,22.22,,22.33,22.33,22.2,203900.0,,36180,-0.11,22.3,22.21,22.24,
