date,cycle,open,lastclose,close,high,low,share,amount,time,macd,avg5,avg10,avg20,avg60
20160823,60,23.27,,23.27,23.27,23.27,5100.0,,40380,-0.019,23.27,23.27,23.27,23.127
20160823,60,23.27,,23.27,23.27,23.27,3600.0,,40440,-0.017,23.27,23.27,23.27,23.1435
20160823,60,23.27,,23.27,23.27,23.27,9800.0,,40500,-0.016,23.27,23.27,23.27,23.1611666667
20160823,60,23.27,,23.27,23.27,23.27,9500.0,,40560,-0.015,23.27,23.27,23.27,23.1786666667
20160823,60,23.27,,23.27,23.27,23.27,49500.0,,40620,-0.014,23.27,23.27,23.27,23.1951666667
20160823,60,23.27,,23.27,23.27,23.27,14400.0,,40680,-0.013,23.27,23.27,23.27,23.2113333333
20160823,60,23.27,,23.27,23.27,23.27,32800.0,,40740,-0.012,23.27,23.27,23.27,23.2275
20160823,60,23.27,,23.27,23.27,23.27,11800.0,,40800,-0.011,23.27,23.27,23.27,23.2435
20160823,60,23.27,,23.27,23.27,23.27,20258.0,,40860,-0.01,23.27,23.27,23.27,23.2555
20160823,60,23.27,,23.27,23.27,23.27,3700.0,,40920,-0.01,23.27,23.27,23.27,23.256
20160823,60,23.27,,23.27,23.27,23.27,2600.0,,40980,-0.009,23.27,23.27,23.27,23.2588333333
20160823,60,23.27,,23.27,23.27,23.27,13600.0,,41040,-0.008,23.27,23.27,23.27,23.2633333333
20160823,60,23.27,,23.27,23.27,23.27,2900.0,,41100,-0.008,23.27,23.27,23.27,23.2681666667
20160823,60,23.27,,23.27,23.27,23.27,4100.0,,41160,-0.007,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,11800.0,,41220,-0.007,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,22600.0,,41280,-0.006,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,13000.0,,41340,-0.006,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,370700.0,,46800,-0.005,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,10900.0,,46860,-0.005,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,700.0,,46920,-0.005,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,18800.0,,46980,-0.004,23.27,23.27,23.27,23.27
