date,cycle,open,lastclose,close,high,low,share,amount,time,macd,avg5,avg10,avg20,avg60
20160823,300,20.8,,20.9,20.98,20.59,6996354.0,,34200,0.0,,,,
20160823,300,20.86,,20.77,20.9,20.65,2400400.0,,34500,-0.017,,,,
20160823,300,20.75,,21.74,21.88,20.75,7424759.0,,34800,0.098,,,,
20160823,300,21.74,,22.38,22.68,21.74,7670621.0,,35100,0.246,,,,
20160823,300,22.36,,22.15,22.6,22.1,3073455.0,,35400,0.296,21.588,,,
20160823,300,22.14,,22.21,22.26,22.0,1929260.0,,35700,0.317,21.85,,,
20160823,300,22.22,,22.36,22.44,22.2,1121825.0,,36000,0.332,22.168,,,
20160823,300,22.35,,22.22,22.35,22.1,775265.0,,36300,0.302,22.264,,,
20160823,300,22.26,,22.28,22.33,22.25,585600.0,,36600,0.272,22.244,,,
20160823,300,22.28,,22.3,22.32,22.2,578100.0,,36900,0.237,22.274,21.931,,
20160823,300,22.3,,23.0,23.27,22.29,2705815.0,,37200,0.288,22.432,22.141,,
20160823,300,22.98,,23.27,23.27,22.97,2060440.0,,37500,0.333,22.614,22.391,,
20160823,300,23.27,,23.27,23.27,23.27,395900.0,,37800,0.338,22.824,22.544,,
20160823,300,23.27,,23.27,23.27,23.27,337201.0,,38100,0.316,23.022,22.633,,
20160823,300,23.27,,23.27,23.27,23.27,166347.0,,38400,0.279,23.216,22.745,,
20160823,300,23.27,,23.27,23.27,23.27,122583.0,,38700,0.232,23.27,22.851,,
20160823,300,23.27,,23.27,23.27,23.27,183350.0,,39000,0.182,23.27,22.942,,
20160823,300,23.27,,23.27,23.27,23.27,2516013.0,,39300,0.132,23.27,23.047,,
20160823,300,23.27,,23.27,23.27,23.27,2226357.0,,39600,0.084,23.27,23.146,,
20160823,300,23.27,,23.27,23.27,23.27,198032.0,,39900,0.04,23.27,23.243,22.587,
20160823,300,23.27,,23.27,23.27,23.27,92605.0,,40200,-0.0,23.27,23.27,22.7055,
20160823,300,23.27,,23.27,23.27,23.27,116000.0,,40500,-0.035,23.27,23.27,22.8305,
20160823,300,23.27,,23.27,23.27,23.27,51958.0,,40800,-0.064,23.27,23.27,22.907,
20160823,300,23.27,,23.27,23.27,23.27,54400.0,,41100,-0.089,23.27,23.27,22.9515,
20160823,300,23.27,,23.27,23.27,23.27,410600.0,,46800,-0.109,23.27,23.27,23.0075,
20160823,300,23.27,,23.27,23.27,23.27,60300.0,,47100,-0.125,23.27,23.27,23.0605,
20160823,300,23.27,,23.27,23.27,23.27,25100.0,,47400,-0.138,23.27,23.27,23.106,
20160823,300,23.27,,23.27,23.27,23.27,17900.0,,47700,-0.147,23.27,23.27,23.1585,
20160823,300,23.27,,23.27,23.27,23.27,51900.0,,48000,-0.153,23.27,23.27,23.208,
20160823,300,23.27,,23.27,23.27,23.27,28000.0,,48300,-0.157,23.27,23.27,23.2565,
20160823,300,23.27,,23.27,23.27,23.27,27100.0,,48600,-0.158,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,40000.0,,48900,-0.158,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,56200.0,,49200,-0.157,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,37100.0,,49500,-0.154,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,50100.0,,49800,-0.15,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,35900.0,,50100,-0.146,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,21500.0,,50400,-0.14,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,34300.0,,50700,-0.135,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,9200.0,,51000,-0.129,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,20701.0,,51300,-0.123,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,26200.0,,51600,-0.117,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,32800.0,,51900,-0.112,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,43800.0,,52200,-0.106,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,137900.0,,52500,-0.1,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,129000.0,,52800,-0.094,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,112500.0,,53100,-0.089,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,196400.0,,53400,-0.083,23.27,23.27,23.27,
20160823,300,23.27,,23.27,23.27,23.27,41900.0,,53700,-0.078,23.27,23.27,23.27,
